texte,vrai,prédit,correct
"We applied for a mortgage with USAA. They repeatedly lost documents we sent to them. They sent us confusing and conflicting requests. For example instead of saying 'can we have a lease agreement for your rent ', they asked us for bank statements, then those bank statements were n't good enough, then they asked for a letter from the landlord, not good enough and so on. This happened with pretty much every bit of requested information. Their 'notice of incomplete application ' was inaccurate as it included many of the things we already sent. We would try and call 20+times a day and got no answer. They could n't read XXXX orders ( despite being a bank for service people ), they could n't read the condo pack that contained the flood insurance and instead claimed we failed to purchase it. As the Power of Attorney for my fiance as he is at sea and has sporadic internet connectivity I was not contacted ( despite chasing the application up for weeks ) until 5 days before the notice of action was due to expire. I asked for management to contact me, they refused. I reported it to Social Media, who apparently escalated the complaint but it was ignored. Finally I got in touch with a wonderful man who processed my complaint and also went through my application and realised that we had everything that was being asked for ( most of it was forwraded again as they had previously been sent but misplaces, misfiled or misread by the processors ). It was the last day to get everything signed off before the application would be closed. The manager of the processing team assured this agent that she would call me. She then messaged him to say she would in the morning and would deal with the outstanding documents. Instead of doing this she proceeded to close the application. We are already a week over out closing date and now are likely to be up to 45 days over again as we reapply, possibly again with garbled explanations of what is required, poor communication, lost documents and issues with us being overseas ( something that would n't have been a problem had they processed things properly. We have been thoroughly mistreated and as a result not only face stress and financial hardship but will potentially lose our earnest money and even our home, thanks to their handling of this matter.",Mortgage,Mortgage,True
I received an alert in regards to my credit report that changes were made on my credit report and inquiries were made on my credit report. The following information below is fraudulent inquiries and changes that were made on my credit report without my knowledge. EMPLOYER - XXXX XXXX XXXX - I DO NOT WORK AT THIS ESTABLISHMENT AND NEVER HAVE. IMMEDIATELY REMOVE THIS FROM MY CREDIT REPORT. INQUIRY - XXXX MAIN - INQUIRY MADE ON XXXX. I HAVE NEVER MADE AN INQUIRY TO THIS COMPANY. IMMEDIATELY REMOVE THIS FROM MY CREDIT REPORT. INQUIRY - XXXX BANK NA - INQUIRY MADE ON XXXX. I HAVE NEVER MADE AN INQUIRY TO THIS COMPANY. IMMEDIATELY REMOVE THIS FROM MY CREDIT REPORT. THIS FRAUDULENT INFORMATION THAT IS ON MY CREDIT REPORT IS MAKING MY XXXX XXXX GO DOWN. I WANT MY CREDIT REPORT CORRECTED IMMEDIATELY AND A FRAUD INDICATOR PLACE ON MY REPORT. IT MAKES NO SENSE HOW THESE CREDIT REPORTING COMPANY WILL PUT ANY AND EVERYTHING ON YOUR REPORTS AT ANY GIVEN TIME.,"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"In XX/XX/XXXX/XX/XX/2017, I fell victim to a check-cashing scheme. The bank I use, and used at the time, was PNC. I deposited checks from "" XXXX '' for around {$3000.00} via ATM. In checking my online account, by the next business day that deposited check had posted to my account. Usually the following business day, PNC would clear the check for use. I withdrew the money and wired it overseas according to instructions via direct interaction with the teller at the PNC branch nearby. This was done a total of 7 times. 
I discovered that the checks I deposited via ATM were fraudulently drawn and were bogus by contacting the company XXXX XXXX XXXX directly. By this time, I had transacted a total of {$20000.00}. 
PNC immediately held me liable for that {$20000.00} and immediately froze mine and my wife 's accounts until I repaid that {$20000.00}. Of course I do not have {$20000.00} because as soon as I withdrew it, I sent it out via XXXX XXXX. My situation worsened when I lost my job and I am unable to locate another. Thus, my accounts were frozen, PNC wanted me to pay them over {$20000.00}, and the means I had to cover that were no longer available. 

Besides my stupidity at falling for this scheme, my contention with PNC is this : If they had n't cleared these checks, I never would have withdrawn money against them. The deposit would not have cleared, ergo, the money would not have been available. PNC cleared those checks usually with two business days of deposit, which, to me, signaled that the checks were legitimate and said money was available for use. 
I found out later that was an inaccurate assumption. 
If they suspected the checks as being fraudulently drawn, they should not have cleared them. Posted, yes ; cleared, no. 
A subsequent conversation with PNC occurred where they did state that the checks were "" being investigated ''. However, the damage had already been done and PNC is now holding me liable for that amount. 
Further, I hold a PNC credit card with an outstanding balance of about {$7800.00}, where I could not make a payment as my available funds were locked down by PNC. My unemployment compensation was being direct-deposited into a locked account so I had no access to money needed to pay living expenses, let alone other bills. When PNC collectors called about the late credit card payment, I related the situation in full. 
The next business day, PNC unlocked my accounts. I logged in and made a credit card payment. So it seems that PNC opened my account to allow for a credit card payment, and then locked it down again. 
Given my inability to find employment and that I was essentially duped by this check-cashing scam, I am requesting help from the CFPB to intervene and to help lift that {$20000.00} debt from my shoulders. There simply is no reasonable way I 'll ever be able to make that payoff to them. 
I will end my banking relationship with PNC after over 20 years, but will continue to meet my responsibility in paying off the credit card debt I have with PNC. 
I am attaching bank statements from the time-window in question. XX/XX/XXXX shows XXXX ATM deposits and XXXX withdrawals. XX/XX/XXXX shows XXXX more deposit and XXXX more withdrawals. The final deposit amount was never withdrawn. 
These statements are in pdf format and I can not edit out sensitive data, so please be very discrete in how you handle this information. 
Thank you",Bank account or service,Bank account or service,True
"My IRS Tax refund in the amount of # XXXX Was deposited into a US Bank Checking Account # XXXX that does not belong to me. I learned of this through the trace that the Department of Treasury placed. I personally contacted US Bank XXXX XXXX and was informed by XXXX XXXX, Manager that the account number does not match my name or social security number. He added that the deposit is considered a third party check and can only be accepted by the approval of a supervisor since it is a liability. I have been trying to resolve this issue with US Bank and have been unsuccessful.",Bank account or service,Bank account or service,True
"My monthly loan payment increased significantly, but I feel stuck at that payment level because I am trying to take advantage of the 10 year Public Service ( XXXX ) repayment plan. My interest rate is also stuck at a ridiculous rate of 6.8 %, and the amount I pay each month makes other bills difficult for me and my family. FedLoan arbitrarily decides for me that paying almost {$500.00} per month is doable. I am now going into more credit card debt because of these higher payments, and I was told that a {$450.00} rent increase would not factor into this payment increase whatsoever. This is unfair.",Student loan,Student loan,True
"My XXXX XXXX XXXX has been expired. Continued late charges have been requested by XXXX XXXX credit card company. The collection activity is unlawful practices. Please, correct it as soon as possible. Thank you!",Debt collection,"Credit reporting, credit repair services, or other personal consumer reports",False
"We purchased our home in XXXX. In XXXX my husband, who is the mortgage holder, became permanently XXXX. We began having difficulty making our mortgage payments and since then we have exhausted all of our funds i.e. IRA 's, Stocks etc. in order to make our mortgage payments but unfortunately the last mortgage payment we were able to make after exhausting all of our funds was in XXXX XXXX. Since then Wells Fargo has begun foreclosure proceedings. We have had our first foreclosure conference so far and the XXXX conference is scheduled for XXXX XXXX, XXXX. During the XXXX conference, the referee told us that we had to apply for a loan modification but in order to be approved we had to increase our income. I explained to her that I am seeking employment but that right now our only source of income is my husband 's social security XXXX income I also informed her that we can access my husband 's pension early if we choose to and that in XXXX XXXX, I can retire at age XXXX. The referee said that we should include in the modification request, proof of how much additional income we will be getting with my husband 's pension and with my social security, which we did. A Wells Fargo representative called today stating that our modification request was denied because a ) our investor does not participate in HAMP. When we first got our mortgage, it was a XXXX XXXX mortgage ( who does participate in HAMP ) but I was told that it has since been sold and the investor now is XXXX ( XXXX, who does not participate in HAMP, ) and B ) our income is too low. I asked how it was determined and I explained again about the pension and retirement income but he said that those amounts could not be taken into consideration because we are not yet receiving that income. I would also like to add that we do not have major credit card debit, we do not have an auto loan ( our car is 8 years old, ) and the only reason we are in this position is because my husband became ill. He is an end XXXX. He is XXXX. He is currently in a XXXX and will be coming home hopefully within the next month after having been in XXXX on and off for almost a year. We do not want to lose our home that we worked so hard for and we are respectfully asking if there are any other options for us. We have not yet received a formal denial letter for a loan modification. A Wells Fargo representative called me today by telephone to alert me of the denial.",Mortgage,Mortgage,True
I signed up for a Citi checking bank account. There was a promotional offer advertised on their website with promo code XXXX. I fulfilled my obligations and met the requirements for me to earn the {$400.00} bonus. I waited the required time frame of 90 days and Citi has failed to honor the bonus offer. My request is for Citi Bank to honor the bonus by paying me my {$400.00},Bank account or service,Bank account or service,True
"There are XXXX debts originally owed to XXXX ; the first with a last known balance of approximately {$5000.00} and the other with a last known balance of approximately {$2800.00}. Over the course of 16 months we 've seen the balances of these debts increase by over 150 % each. As of this writing, XXXX hired collections servicer, ACCTCORP OF SOUTHERN NEVADA, has filed a suit against us alleging that the balance of the aforementioned debts are now {$14000.00} and {$7500.00}, respectively. This is an absolute outrage! Especially since these new amounts which equate to over 160 % appreciation are well in excess of the 24 % penalty rate that XXXX has in their own documentation. Furthermore, in doing the math in the summons that we received, we found that ACCTCORP, again, miscalculated the total amounts i.e. the itemized amounts in the summons do NOT add up to the total amount for which they are suing both my husband and I. We strongly feel that ACCTCORP numbers are highly dubious and that the final amount being sought is comprised of exorbitant interest fees! 

REFERENCE INFORMATION : ACCTCORP OF SOUTHERN NEVADA Account No. XXXX",Debt collection,Debt collection,True
"Around XX/XX/XXXX I authorized XXXX XXXX XXXX to perform a background check. After about a week I found out that they faxed my information to a public fax machine in a library including my SSN, address history, and DOB. Further I also found out that this company shares this information with their overseas employees. The fact that they fax this information for employment verification is appalling, any employer already has this information and should not need it to verify my employment with them. Also the fact that an entire team in XXXX has access to my personal information is very scary, there are no regulations there and US citizens have no recourse if data is breached in XXXX. American information needs to stay in America!  This needs to stop! I suggest you investigate the actions of this company very thoroughly.","Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
I have been attempting to resolve issues regarding 2 items that are negatively being reported to my credit files since XXXX of this year ( 2017 ) ; which is hindering my ability to obtain new lines of credit and having a major negative impact on my credit score making it impossible to secure loan for the purpose to purchase property. I do not owe XXXX XXXX XXXX XXXX XXXX any monies ; prior to negative reporting to all 3 credit bureaus I was unaware of this account/ collection. XXXX XXXX or XXXX XXXX XXXX XXXX XXXX has not attempted to reach me by mail phone etc had they did would have given me an opportunity to request an internal investigation on this account. This account is reporting incorrectly is it not mine ; I do not have a contract/ agreement of repayment for these account. Lastly I would like to address the incorrect reporting of Chapter XXXX Bankruptcy this account is also reporting invalidly and I would like both negative entries removed immediately.,"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
XXXX reinserted information that had been deleted in XXXX 2015. XXXX agreed to remove account yet Transunion continues to report account. Please delete account number XXXX from my credit report immediately as agreed.,"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
I've contacted the credit bureau and each company regarding the inquiry showing on my credit report with no progress. I've requested proof that I consented to these inquiries only to be told I have to wait 2 years for them to fall off. These inquiries are hurting my credit score.,"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"I had 3 Barclaycards, one XXXX XXXX, XXXX XXXX, and rewards masetercard. This company has been an absolute nightmare to deal with. They refused for MONTHS to shut off auto pay and repeatedly tried auto drafting payments out of an account that had been closed. So not only was I being charged ridiculous fees from my bank but then these people started to hit me. I had one account set up on autopay ( XXXX ) now I go online and atopay has been shut off and now they are reporting my account late. I have a serious medical issue and these people have RUINED my credit by first closing my accounts due to the fact that they refused to update the autopay for a different account. Now they DOUBLED my minimum payments so not only are you causing me ridiculous amounts of fees they are making the payments unaffordable at a time when I am sick with possible XXXX.",Credit card or prepaid card,Credit card or prepaid card,True
Either a Macy 's customer used my phone number or their debt collector randomly selected mine and attached to delinquent account. I asked not to be called again. Called again less than a day after I requested for the harassment to cease. I called the XXXX number left on voicemail by XXXX XXXX. She verified by last XXXX of the SSN that I am not the account holder.,Debt collection,Debt collection,True
"XXXX-17 I do not remember the amount but it's for Bank Of America, XXXX XXXX XXXX and any other banks shown on the XXXX report. This one person who was my roommate at the time, when I opened the accounts, told me the checks he had were good and instructed me to deposit the checks into the atm and into my account but little did I know that they were bad and ended up getting the bank to force me to close out the account and be put on XXXX  for fraud when it was my ex-roommate who did the checks. There was a warrant out for my arrest and by working with my defense attorney, I was able to get the charges against me dropped. I can contact my defense attorney and get him to ask the police there for a police report that proves that the charges were dropped. I just want the XXXX bad listings on me to disappear for good. 
For XXXX, this was all because my roommate instructed me to deposit a, in his words, good check that was actually a bad check and that bounced, making me owe money and having the account closed out by the bank. 
I just want this to be off XXXX and me to be put out of the database.",Checking or savings account,"Credit reporting, credit repair services, or other personal consumer reports",False
"I have tired to correct information on my credit report. I have disputed it with both the Bureaus and the creditor. They have not properly investigated and resolved my issue. XXXX XXXX XXXX XXXX begin a modification process on my XXXX and XXXX mortgage at the same time XX/XX/XXXX. After complying with the terms and paying the trial modification my XXXX was modified permanantly in XX/XX/XXXX but my XXXX was not. I constantly asked XXXX XXXX XXXX the status, they said it was still working, I continued to pay the trial payment, then XX/XX/XXXX I got another notification that my XXXX mortgage was under trial modification, Again I continued to pay it on time and in XX/XX/XXXX the XXXX became permanant, almost 1 year later. XXXX XXXX XXXX reports that I was 120 days late and that I was late on my XXXX mortgage since the trial began. They corrected this on the XXXX mortgage but not on the XXXX. I made payments as agreed and yet the report is not an accurate reflection of what happened. I never got an explaination as to why the XXXX mortage took so long. But with the XXXX, XXXX XXXX XXXX Reported that I was on time from the start of the XXXX XXXX. In addition when we started this program - due to job loss- we were told there was nothing that cold be done until we were behind. I would like to have my credit reports reflect as paid as agreed on my XXXX mortgage from XX/XX/XXXX until now. I have attached documetation showing my payments, the agreement and the impact on my credit report. Please HELP I have sent endless disputes to XXXX XXXX XXXX and The Credit Bureaus to no avail. This really hurts my ability to get back on my feet, since the modification, we have been able to make payments and straighten out our financial lives, this inaccuracy does have devastating impact.","Credit reporting, credit repair services, or other personal consumer reports",Mortgage,False
"I phoned Quicken Loan Company in response to an extensive ad campaign that advertised HARP refinance, for which I know I am well-qualified. After three days, XXXX highly questionable sales people ( XXXX, XXXX, and XXXX ) not XXXX of them would talk to me about HARP refi. They tried very hard, with a ton of pressure, to sell me a program of their own with closing costs of $ XXXX. The technique is bait and switch, and I object to their failure to provide clear, factual information and their insistence on getting far too much personal information AND pulling a credit report before they would even discuss loans at all. They never did talk about HARP refi -- said the government charged them very high fees for those programs.",Mortgage,Mortgage,True
"I have enclosed the documentation of my claim that erroneous items are being listed on my credit report due to these private student loans. Attached are all the supporting documents. I simply want the items, including any hard credit inquires from potential creditors that were denied, ALL removed and deleted from my credit report as they are not factual. This issue has directly impacted my ability to obtain personal lines of credit since XXXX of 2014. 

Enclosed is the official response from XXXX including the original promissory note stating only XXXX ( XXXX ) loans from their offices were ever issued with direct contact information. These private student loans were then bounced around between XXXX ( XXXX ), XXXX ( XXXX ), and XXXX XXXX. All of these items are listed on my credit report as multiple separate loans when they are NOT separate loans but the same XXXX ( XXXX ) original loans transferred from the lender to vendor, to collection agency. 
Executive Office XXXX XXXX XXXX XXXX XXXX XXXX XXXX, NY XXXX ATTN : XXXX XXXX Phone : XXXX extention XXXX Both of the private student loans were originally from XXXX. These loans now appear as multiple negative items listed as XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX, or XXXX XXXX. NONE of these items should not even appear on my credit report as negative items. Per the court ruling this debt was dismissed without prejudice and can not be collected on, nor should it even appear on my credit report as it is not a debt. 
Magisterial District Court : XXXX XXXX XXXX XXXX XXXX, PA XXXX Phone : XXXX Docket Number : XXXX XXXX XXXX, PA XXXX Phone : XXXX Case Number : XXXX","Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"I set up a payment plan with Portfolio Recovery for an XXXX XXXX account on XX/XX/XXXX. Amount due was {$480.00}, payments to be withdrawn from my rapid refund account every two weeks in the amount of {$40.00} starting date XX/XX/XXXX with final payment in XXXX. The first payment was withdrawn in the amount stated above, but then I received a phone call on XX/XX/XXXX at XXXX from Portfolio Recovery stating they did not show any information of a payment arrangement being setup. I received another phone call on XX/XX/XXXXat XXXX, reminded the caller that the calls they place are recorded and they needed to go back in their archives and review the information that was set up on the XX/XX/XXXX. 

Portfolio Recovery XXXX XXXX XXXX. XXXX XXXX XXXX, VA XXXX XXXX Thank you XXXX XXXX",Debt collection,Debt collection,True
"After sending repeated correspondences to a creditor called ERC to have my account removed from their database, which is being reported to all 3 credit bureaus as a collection, which is no avail. I have repeated sent letter after letter to have them address this matter only to have the say that I owe them. I have asked for valid proof that I owe them, which I also asked for a valid signature with validating this alleged debt. I have exhausted all my options other than go to small claims court.It is my hope that CFPB could assist me in resolving this matter in quick and decisive response.",Debt collection,Debt collection,True
"I went through XXXX to dispute my credit reports with XXXX and Equifax. 
XXXX removed a credit card account that then showed up on the Equifax report, which was n't there before. The credit card dispute is for a XXXX account that was closed in XX/XX/2004. 
I called Equifax directly to dispute both employment information and the credit card account. They told me over the phone that they could not remove it. I filed this complaint. I also called XXXX directly and requested they contact the reporting agency to tell them to remove it. XXXX stated it could take up to 20-30 days to see any changes. They stated they would contact XXXX reporting agencies to resolve my issue. 
What I learned today, is consumers must call the creditor and have them authorize and demand removal of the credit discrepancy if the reporting agency is unwilling to do so. Otherwise there is a large law suit and call for consumer action activists. 
The problem with the employment information is there is no automated selection or choices to remove old employment information. This needs to change. 
I have now spent an entire day to clean up my credit report. 
I do not have the file associated with this account because it is so old I destroyed it. XXXX still had me on their system. Unbelievable. I was also just told by a XXXX agent that they are required to keep report our accounts for 10 years, yet web site stated it is only 7.5 years. WHO is RIGHT? What is the time credit reporting time frame for our information?","Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"XXXX XXXX, KROSS, LIEBERMAN & STONE said I owe them XXXX and I disputed this claim and said I did not have a contract with XXXX XXXX, KROSS, LIEBERMAN & STONE and THIS company put this on my credit report. I call XXXX, XXXX, XXXX and they told me that these people can report this on my credit report with out having a contract or social security number all they need is my name and they can report what ever.",Debt collection,"Credit reporting, credit repair services, or other personal consumer reports",False
"XXXX XXXX, Equifax and XXXX are ignoring my requests to investigate, verify and remove fraudulent/unauthorized inquiries from my credit file that were not initiated by me.","Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"PORTFOLIO RECOVERY XXXX XXXX XXXX XXXX XXXX XXXX, VA XXXX Original Debt from XXXX XXXX of {$1200.00} it statesXX/XX/XXXXThis debt was originally from my ex-wife. She opened an account without my permission while I was XXXX serving on XXXX XXXX. I found out about this debt in spring of XXXX a year and a half after our legal separation. In the divorce proceedings this debt was awarded to my ex-wife and she is responsible for the repayment of the debt. I sent this information to XXXX XXXX XXXX in the summer of XXXX. I had received no word and upon checking my credit report it is still listed. I called today,XX/XX/XXXX, and was informed by a representative that they do not honor divorce decrees with debt settlement.",Debt collection,Debt collection,True
There is a hard inquiry that I did n't authorize from XXXX 2017 completed by XXXX.,"Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
"My aunt recently passed away. I have been appointed executor of her estate. She was unfortunately the last remaining relative in my family and I have been grieving uncontrollably over the past year because I have no help or support available. 
As a consequence of her death I inherited XXXX properties that I am trying to manage. Her estate is still currently in review and probate in XXXX County Maryland. I 'm filing a complaint because of the lack of help and correspondences with her lender in an effort to assume, modify or refinance her loan so I can keep her property. Every time I send the requested documents they keep saying that they never received it and then request the same documents over and over again stating that they never received them. I leave messages and they are not returned.",Mortgage,Mortgage,True
"Several family members from received phone calls in the past week from XXXX, regarding "" active litigation '' against me. They have never attempted to contact me, that I 'm aware of. I called the above number today and gave them my "" case number '' which they provided to my family members. Spoke to a paralegal named XXXX XXXX who said her firm, XXXX XXXX XXXX had been hired on a contingency basis, I explained that the old debt that she had mentioned had passed the SOL in Florida. She said that I could sign the papers and let the judge decide. She said that they would serve me at my employer today, and when I tried to make sure they had the correct address, she hung up on me.",Debt collection,Debt collection,True
I had lost my source of income approximately a year ago due to unforeseen circumstances. I made one last mortgage payment and started working XXXX jobs not too long after this happened. With the XXXX jobs combined my income was not enough to pay for the home and the regular bills. Approximately 2 to 3 months ago I was receiving income comparable to before. I started working with the bank to try and receive assistance but as time went on the amount owed kept growing and it came to a point to where they wanted me to pay three times the amount of my mortgage payment. Realistically it 's not possible because that will take away majority of my income for the month. I am currently trying to work with them again to help me out with some different options but the person who is assigned to my case for whatever reason is not ever available. Now they 're requesting for me to fill out another packet which will delay this process longer and will increase the amount that I owe instead of having me starting to make payments which I can afford. I explained that I could afford two times the amount of my regular mortgage payment and enough income to provide for my family.,Mortgage,Mortgage,True
"XXXX XXXX XXXX. XXXX is a fraudulent account that XXXX XXXX XXXX keeps reselling and the credit bureaus keep reinseting it without prior notification to me along with not taking into account that this is the same fraudulent account that was already removed from my credit reports. All of the documentation has been submitted to the credit bureaus along with the involved companies and the credit bureaus has failed to bock this account. Equifax, XXXX, XXXX. Equifax has had fraud paperwork, along with police reports and identity theft afidavit for over 2 months and has not completed the investigation. It has been over 60 days and equifax refuses to remove these fraudulent accounts ( XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX. in accordance to the FCRA. Both XXXX and equifax has removed these accounts and blocked them. Equifax has not completed this investigation in over 60 days","Credit reporting, credit repair services, or other personal consumer reports","Credit reporting, credit repair services, or other personal consumer reports",True
